,code,airport_name,city,state
3689,MYH, Cliff Dwellers,Marble Canyon, AZ
3690,MYJ, Matsuyama Airport,Matsuyama, Japan
3691,MYK, May Creek Airport,May Creek, AK
3692,MYL, McCall Municipal,McCall, ID
3693,MYP, Mary Airport,Mary, Turkmenistan
3694,MYR, Myrtle Beach International,Myrtle Beach, SC
3695,MYT, Myitkyina Airport,Myitkyina, Burma
3696,MYU, Mekoryuk Airport,Mekoryuk, AK
3697,MYV, Yuba County,Marysville, CA
3698,MYW, Mtwara Airport,Mtwara, Tanzania
3699,MYY, Miri Airport,Miri, Malaysia
3700,MZB, Mocimboa Da Praia Airport,Mocimboa Da Praia, Mozambique
3701,MZG, Ma Kung AB,Makung, Taiwan
3702,MZI, Ambodedjo,Mopti, Mali
3703,MZJ, Pinal Airpark,Marana, AZ
3704,MZK, Marakei Airport,Marakei, Kiribati
3705,MZL, La Nubia,Manizales, Colombia
3706,MZM, Metz-Nancy Metz-Frescaty,Metz, France
3707,MZN, Minj Airport,Minj, Papua New Guinea
3708,MZO, Sierra Maestra International,Manzanillo, Cuba
3709,MZR, Mawlana Jalaluddin Muhammad Balkhi,Mazar-I-Sherif, Afghanistan
3710,MZT, General Rafael Buelna International,Mazatlan, Mexico
3711,MZZ, Marion Municipal,Marion, IN
3712,N1C, Cherry Point MCAS,Cherry Point, NC
3713,N1E, Dirkou,Dirkau, Niger
3714,N1Y, Canandaigua Airport,Canandaigua, NY
3715,N2C, Charlotte Monroe Executive,Monroe, NC
3716,N2Y, Finger Lakes Regional,Seneca Falls, NY
3717,N3C, Macon County,Franklin, NC
3718,N3Y, Ticonderoga Municipal,Ticonderoga, NY
3719,N47, Pottstown Municipal,Pottstown, PA
3720,N4C, Raleigh Exec Jetport at Sanford Lee County,Sanford, NC
3721,N4Y, Southampton Heliport,Southampton, NY
3722,N5C, Columbus County Municipal,Whiteville, NC
3723,N6C, Siler City Municipal,Siler City, NC
3724,N87, Trenton-Robbinsville,Robbinsville, NJ
3725,N8K, McGahan Industrial Park,Nikisha, AK
3726,NAA, Narrabri Airport,Narrabri, Australia
3727,NAD, Harriman-and-West,North Adams, MA
3728,NAG, Dr. Baba Saheb Ambedkar International,Nagpur, India
3729,NAK, Nakhon Ratchasima Airport,Nakhon Ratchasima, Thailand
3730,NAN, Nadi International,Nadi, Fiji
3731,NAO, Nanchong Airport,Nanchong, China
3732,NAP, Capodichino,Naples, Italy
3733,NAS, Lynden Pindling International,Nassau, The Bahamas
3734,NAT, Augusto Severo,Natal, Brazil
3735,NAU, Napuka,Napuka Islnd, French Polynesia
3736,NAV, Nevsehir Airport,Nevsehir, Turkey
3737,NAX, Barbers Point NAS,Kapolei, HI
3738,NAZ, Nana,Star Harbour, Solomon Islands
3739,NB1, St Stephen Airport,St Stephen, Canada
3740,NBA, Nambaiyufa Airport,Nambaiyufa, Papua New Guinea
3741,NBC, Begishevo,Naberevnye Chelny, Russia
3742,NBG, New Orleans NAS JRB,New Orleans, LA
3743,NBJ, Newburgh Airport,Newburgh, NY
3744,NBO, Nairobi Jomo Kenyatta International,Nairobi, Kenya
3745,NBU, Glenview NAS,Glenview, IL
3746,NBW, Guantanamo Bay NS,Guantanamo, Cuba
3747,NC1, Gastonia Municipal,Gastonia, NC
